Reseller Top Parent Name;OrgID;Org als Text;Unique Name (Masterlist)
Saturn Elektro-Handels-GmbH;6075353;6075353; Saturn Köln-Weiden
Media Markt GmbH;3935357;3935357;Fil. Media Markt Würzburg City
FNAC (Suisse) SA;57094842;57094842;Fnac Allaman
FNAC (Suisse) SA;11064427;11064427;FNAC Balexert
FNAC (Suisse) SA;82204727;82204727;FNAC Biel
FNAC (Suisse) SA;82204786;82204786;FNAC Chavannes
FNAC (Suisse) SA;35548463;35548463;FNAC Conthey
Media Markt GmbH;44195044;44195044;Media Markt Bornheim
Media Markt GmbH;13948451;13948451;Media Markt Brandenburg 
Media Markt GmbH;3935319;3935319;Media Markt Braunschweig
FNAC (Suisse) SA;57597641;57597641;FNAC Conthey
FNAC (Suisse) SA;57094829;57094829;FNAC Conthey
FNAC (Suisse) SA;62205566;62205566;FNAC Eaux-Vives
FNAC (Suisse) SA;56927800;56927800;FNAC Firbourg
FNAC (Suisse) SA;35548461;35548461;FNAC Firbourg
FNAC (Suisse) SA;74035370;74035370;FNAC Firbourg
FNAC (Suisse) SA;74035368;74035368;FNAC Genf Rue de Rive
FNAC (Suisse) SA;15225168;15225168;FNAC Genf Rue de Rive
FNAC (Suisse) SA;11064429;11064429;FNAC Lausanne
FNAC (Suisse) SA;74035369;74035369;FNAC Lausanne
FNAC (Suisse) SA;82204687;82204687;FNAC Monthey
FNAC (Suisse) SA;57094843;57094843;Fnac Montreux
FNAC (Suisse) SA;57597642;57597642;FNAC Neuenburg
Interdiscount Division der Coop Basel;34799488;34799488;Interdiscount - La Maladière XXL
Interdiscount Division der Coop Basel;34799509;34799509;Interdiscount -  Neuchâtel Ville
FNAC (Suisse) SA;57094844;57094844;FNAC Neuenburg
FNAC (Suisse) SA;38358357;38358357;FNAC Neuenburg
FNAC (Suisse) SA;62174566;62174566;FNAC Online
FNAC (Suisse) SA;9561597;9561597;FNAC Vernier
FNAC (Suisse) SA;82648342;82648342;FNAC Vesenaz
Interdiscount Division der Coop Basel;3855463;3855463;Interdiscount - Aarau XXL
Interdiscount Division der Coop Basel;51586111;51586111;Interdiscount - Adliswil
Interdiscount Division der Coop Basel;10761361;10761361;Interdiscount - Affoltern
Interdiscount Division der Coop Basel;1366712;1366712;Interdiscount - Allaman
Interdiscount Division der Coop Basel;45082724;45082724;Interdiscount - Allman Coop@Home
Interdiscount Division der Coop Basel;18202568;18202568;Interdiscount - Allschwil
Interdiscount Division der Coop Basel;5019062;5019062;Interdiscount - Altdorf
Interdiscount Division der Coop Basel;5019108;5019108;Interdiscount - Amriswil
Interdiscount Division der Coop Basel;5019138;5019138;Interdiscount - Arbon 
Interdiscount Division der Coop Basel;15390361;15390361;Interdiscount - Baar Gotthard
Interdiscount Division der Coop Basel;34799500;34799500;Interdiscount - Bachenbülach
Interdiscount Division der Coop Basel;4754988;4754988;Interdiscount - Baden West
Interdiscount Division der Coop Basel;5018960;5018960;Interdiscount - Basel Aeschen
Interdiscount Division der Coop Basel;5019114;5019114;Interdiscount - Basel Gundeli
Interdiscount Division der Coop Basel;34789595;34789595;Interdiscount - Basel Märthof
Interdiscount Division der Coop Basel;44989006;44989006;Interdiscount - Basel St. Jakob
Interdiscount Division der Coop Basel;5238213;5238213;Interdiscount - Basel Webergasse
Interdiscount Division der Coop Basel;7330275;7330275;Interdiscount - Bassecourt
Interdiscount Division der Coop Basel;5019086;5019086;Interdiscount - Bellinzona
Interdiscount Division der Coop Basel;34788641;34788641;Interdiscount - Bern Aarberger
Interdiscount Division der Coop Basel;34788728;34788728;Interdiscount - Bern Bahnhof
Interdiscount Division der Coop Basel;34788788;34788788;Interdiscount - Bern Bethlehem
Interdiscount Division der Coop Basel;47248690;47248690;Interdiscount - Bern Bubenbergplatz
Interdiscount Division der Coop Basel;38944408;38944408;Interdiscount - Bern Bubenbergplatz
Interdiscount Division der Coop Basel;34799496;34799496;Interdiscount - Bern Bümpliz
Interdiscount Division der Coop Basel;45082725;45082725;Interdiscount - Bern Ryfflihof
Interdiscount Division der Coop Basel;34788621;34788621;Interdiscount - Bern Waisenhausplatz
Interdiscount Division der Coop Basel;34788538;34788538;Interdiscount - Bern Wankdorf XXL
Interdiscount Division der Coop Basel;34788643;34788643;Interdiscount - Biel Bahnhof
Interdiscount Division der Coop Basel;34788723;34788723;Interdiscount - Biel Centre Bahnhof
Interdiscount Division der Coop Basel;34799497;34799497;Interdiscount - Biel Collègegasse
Interdiscount Division der Coop Basel;47248689;47248689;Interdiscount - Biel Coop City
Interdiscount Division der Coop Basel;44989007;44989007;Interdiscount - Biel Coop City
Interdiscount Division der Coop Basel;34788594;34788594;Interdiscount - Biel XXL
Interdiscount Division der Coop Basel;34788588;34788588;Interdiscount - Brig
Interdiscount Division der Coop Basel;5019150;5019150;Interdiscount - Brugg Neumarkt 2
Interdiscount Division der Coop Basel;34788653;34788653;Interdiscount - Buchs
Interdiscount Division der Coop Basel;34799503;34799503;Interdiscount - Bülach
Interdiscount Division der Coop Basel;5018969;5018969;Interdiscount - Bulle Le Câro
Interdiscount Division der Coop Basel;14780184;14780184;Interdiscount - Bulle Riaz
Interdiscount Division der Coop Basel;7789663;7789663;Interdiscount - Burgdorf
Interdiscount Division der Coop Basel;34788635;34788635;Interdiscount - Canobbio-Lugano
Interdiscount Division der Coop Basel;14033073;14033073;Interdiscount - Cham
Interdiscount Division der Coop Basel;16764181;16764181;Interdiscount - Chur City West XXL
Interdiscount Division der Coop Basel;5019106;5019106;Interdiscount - Chur Quader
Interdiscount Division der Coop Basel;13634181;13634181;Interdiscount - Conthey
Interdiscount Division der Coop Basel;10129533;10129533;Interdiscount - Crissier XXL
Interdiscount Division der Coop Basel;34799495;34799495;Interdiscount - Dättwil
Interdiscount Division der Coop Basel;34788752;34788752;Interdiscount - Davos
Interdiscount Division der Coop Basel;34799501;34799501;Interdiscount - Delémont
Interdiscount Division der Coop Basel;12707586;12707586;Interdiscount - Dietlikon
Interdiscount Division der Coop Basel;5019142;5019142;Interdiscount - Ecublens
Interdiscount Division der Coop Basel;5238204;5238204;Interdiscount - Egerkingen XXL
Interdiscount Division der Coop Basel;34788521;34788521;Interdiscount - Emmen
Interdiscount Division der Coop Basel;23458776;23458776;Interdiscount - E-Shop
Interdiscount Division der Coop Basel;50699278;50699278;Interdiscount - Feuerthalen
Interdiscount Division der Coop Basel;5019090;5019090;Interdiscount - Frauenfeld EKZ Passage
Interdiscount Division der Coop Basel;5238185;5238185;Interdiscount - Frauenfeld Thurgi-Park
Interdiscount Division der Coop Basel;34788571;34788571;Interdiscount - Fribourg
Interdiscount Division der Coop Basel;38207620;38207620;Interdiscount - Frick
Interdiscount Division der Coop Basel;34799489;34799489;Interdiscount - Genève Aéroport
Interdiscount Division der Coop Basel;34799506;34799506;Interdiscount - Genève Balexert Parterre
Interdiscount Division der Coop Basel;34799479;34799479;Interdiscount - Genève Carouge
Interdiscount Division der Coop Basel;34799487;34799487;Interdiscount - Genève Charmilles
Interdiscount Division der Coop Basel;34799504;34799504;Interdiscount - Genève Croix-d'Or
Interdiscount Division der Coop Basel;34799482;34799482;Interdiscount - Genève Cygnes
Interdiscount Division der Coop Basel;34799507;34799507;Interdiscount - Genève Eaux-Vives
Interdiscount Division der Coop Basel;47248692;47248692;Interdiscount - Genève Fusterie
Interdiscount Division der Coop Basel;45082726;45082726;Interdiscount - Genève Fusterie
Interdiscount Division der Coop Basel;11396040;11396040;Interdiscount - Genève Meyrin
Interdiscount Division der Coop Basel;5019141;5019141;Interdiscount - Granges-Paccot
Interdiscount Division der Coop Basel;41915869;41915869;Interdiscount - Grenchen
Interdiscount Division der Coop Basel;7789660;7789660;Interdiscount - Grenchen
Interdiscount Division der Coop Basel;34788769;34788769;Interdiscount - Gstaad
Interdiscount Division der Coop Basel;54238328;54238328;Interdiscount - Gunzgen SÃ¼d Kappel Coop pronto
Interdiscount Division der Coop Basel;34788537;34788537;Interdiscount - Haag
Interdiscount Division der Coop Basel;34788804;34788804;Interdiscount - Heerbrugg
Interdiscount Division der Coop Basel;12707587;12707587;Interdiscount - Heimberg CF XXL
Interdiscount Division der Coop Basel;12624968;12624968;Interdiscount - Hinwil
Interdiscount Division der Coop Basel;37240233;37240233;Interdiscount - Hochdorf
Interdiscount Division der Coop Basel;5875432;5875432;Interdiscount - Interdiscount Bern Ryfflihof
Interdiscount Division der Coop Basel;7057895;7057895;Interdiscount - Interdiscount Collombey
Interdiscount Division der Coop Basel;1967062;1967062;Interdiscount - Interdiscount Division der Coop Basel
Interdiscount Division der Coop Basel;73036;73036;Interdiscount - Interdiscount Jegenstorf
Interdiscount Division der Coop Basel;5238202;5238202;Interdiscount - Interdiscount Kriens
Interdiscount Division der Coop Basel;5019124;5019124;Interdiscount - Interdiscount Langenthal
Interdiscount Division der Coop Basel;5019072;5019072;Interdiscount - Interdiscount Schlieren
Interdiscount Division der Coop Basel;5238209;5238209;Interdiscount - Interdiscount Sissach
Interdiscount Division der Coop Basel;5019119;5019119;Interdiscount - Interdiscount St. Moritz
Interdiscount Division der Coop Basel;5019155;5019155;Interdiscount - Interdiscount Winterthur Erlenhof
Interdiscount Division der Coop Basel;11595620;11595620;Interdiscount - Interdiscount Zürich St. Annahof
Interdiscount Division der Coop Basel;5019096;5019096;Interdiscount - Interlaken
Interdiscount Division der Coop Basel;5391134;5391134;Interdiscount - Internet-Shop
Interdiscount Division der Coop Basel;5019080;5019080;Interdiscount - Kaiseraugst XXL
Interdiscount Division der Coop Basel;5238184;5238184;Interdiscount - Kreuzlingen Karussell
Interdiscount Division der Coop Basel;45834753;45834753;Interdiscount - Kriens Coop City
Interdiscount Division der Coop Basel;35097430;35097430;Interdiscount - Kusnacht
Interdiscount Division der Coop Basel;5019067;5019067;Interdiscount - La Chaux-de-Fonds Cité
Interdiscount Division der Coop Basel;13044979;13044979;Interdiscount - Lachen
Interdiscount Division der Coop Basel;34788686;34788686;Interdiscount - Langnau
Interdiscount Division der Coop Basel;5019120;5019120;Interdiscount - Laufen
Interdiscount Division der Coop Basel;34788786;34788786;Interdiscount - Lausanne Au Centre XXL
Interdiscount Division der Coop Basel;34788675;34788675;Interdiscount - Lausanne Bel-Air
Interdiscount Division der Coop Basel;34788805;34788805;Interdiscount - Lausanne Gare
Interdiscount Division der Coop Basel;5018968;5018968;Interdiscount - Lenzburg
Interdiscount Division der Coop Basel;10506854;10506854;Interdiscount - Liestal
Interdiscount Division der Coop Basel;11153350;11153350;Interdiscount - Locarno
Interdiscount Division der Coop Basel;5019117;5019117;Interdiscount - Losone
Interdiscount Division der Coop Basel;5019084;5019084;Interdiscount - Lugano Ginevra
Interdiscount Division der Coop Basel;5019099;5019099;Interdiscount - Luzern Bahnhofshopping
Interdiscount Division der Coop Basel;45082727;45082727;Interdiscount - Luzern Coop City
Interdiscount Division der Coop Basel;47248693;47248693;Interdiscount - Luzern Coop City
Interdiscount Division der Coop Basel;16010810;16010810;Interdiscount - Luzern Hertenstein XXL
Interdiscount Division der Coop Basel;19389451;19389451;Interdiscount - Lyss Seeland-Center
Interdiscount Division der Coop Basel;11176223;11176223;Interdiscount - Lyssach
Interdiscount Division der Coop Basel;34788628;34788628;Interdiscount - Marin
Interdiscount Division der Coop Basel;5019116;5019116;Interdiscount - Martigny
Interdiscount Division der Coop Basel;16105568;16105568;Interdiscount - Martigny Cristal
Interdiscount Division der Coop Basel;11198494;11198494;Interdiscount - Matran
Interdiscount Division der Coop Basel;19029126;19029126;Interdiscount - Meilen
Interdiscount Division der Coop Basel;34788551;34788551;Interdiscount - Mels
Interdiscount Division der Coop Basel;44989008;44989008;Interdiscount - microspot B2B
Interdiscount Division der Coop Basel;34788607;34788607;Interdiscount - Montagny
Interdiscount Division der Coop Basel;14706344;14706344;Interdiscount - Montreux
Interdiscount Division der Coop Basel;5019105;5019105;Interdiscount - Morges
Interdiscount Division der Coop Basel;34799511;34799511;Interdiscount - Münsingen
Interdiscount Division der Coop Basel;11504483;11504483;Interdiscount - Murten
Interdiscount Division der Coop Basel;5019153;5019153;Interdiscount - Muttenz
Interdiscount Division der Coop Basel;5019079;5019079;Interdiscount - Netstal
Interdiscount Division der Coop Basel;5019068;5019068;Interdiscount - Nyon
Interdiscount Division der Coop Basel;4975823;4975823;Interdiscount - Oberwil
Interdiscount Division der Coop Basel;47248688;47248688;Interdiscount - Oerlikon Coop City
Interdiscount Division der Coop Basel;45082728;45082728;Interdiscount - Oerlikon Coop City
Interdiscount Division der Coop Basel;5019107;5019107;Interdiscount - Oftringen
Interdiscount Division der Coop Basel;46319295;46319295;Interdiscount - Oftringen Coop pronto
Interdiscount Division der Coop Basel;45834534;45834534;Interdiscount - Olten Coop City
Interdiscount Division der Coop Basel;14780192;14780192;Interdiscount - Olten Sälipark
Interdiscount Division der Coop Basel;11153349;11153349;Interdiscount - Olten Stadt
Interdiscount Division der Coop Basel;17180423;17180423;Interdiscount - Oron-la-Ville
Interdiscount Division der Coop Basel;5082160;5082160;Interdiscount - Ostermundigen
Interdiscount Division der Coop Basel;5019078;5019078;Interdiscount - Payerne
Interdiscount Division der Coop Basel;34799490;34799490;Interdiscount - Pfäffikon
Interdiscount Division der Coop Basel;18871431;18871431;Interdiscount - Prilly
Interdiscount Division der Coop Basel;5018976;5018976;Interdiscount - Rapperswil
Interdiscount Division der Coop Basel;5019136;5019136;Interdiscount - Regensdorf  XXL
Interdiscount Division der Coop Basel;5019143;5019143;Interdiscount - Reinach Aargau
Interdiscount Division der Coop Basel;1366719;1366719;Interdiscount - Rennaz
Interdiscount Division der Coop Basel;49936531;49936531;Interdiscount - Rickenbach
Interdiscount Division der Coop Basel;5127913;5127913;Interdiscount - Rorschach
Interdiscount Division der Coop Basel;34788531;34788531;Interdiscount - San Antonino
Interdiscount Division der Coop Basel;34788716;34788716;Interdiscount - Schaffhausen Neuhausen
Interdiscount Division der Coop Basel;34788657;34788657;Interdiscount - Schaffhausen Vorstadt
Interdiscount Division der Coop Basel;34788468;34788468;Interdiscount - Seewen-Schwyz
Interdiscount Division der Coop Basel;34788495;34788495;Interdiscount - Serfontana
Interdiscount Division der Coop Basel;44989009;44989009;Interdiscount - Showroom Dietikon
Interdiscount Division der Coop Basel;89867259;89867259;Interdiscount - Showroom Jegenstorf
Interdiscount Division der Coop Basel;44989010;44989010;Interdiscount - Showroom Moosseedorf
Interdiscount Division der Coop Basel;47248691;47248691;Interdiscount - Showroom Zürich Hauptbahnhof
Interdiscount Division der Coop Basel;44989011;44989011;Interdiscount - Showroom Zürich Hauptbahnhof
Interdiscount Division der Coop Basel;12989129;12989129;Interdiscount - Sierre/Noës
Interdiscount Division der Coop Basel;34788731;34788731;Interdiscount - Signy XXL
Interdiscount Division der Coop Basel;3855460;3855460;Interdiscount - Sion
Interdiscount Division der Coop Basel;47248668;47248668;Interdiscount - Siroop msp
Interdiscount Division der Coop Basel;44989021;44989021;Interdiscount - Siroop msp
Interdiscount Division der Coop Basel;38207619;38207619;Interdiscount - siroop trading AG
Interdiscount Division der Coop Basel;5019161;5019161;Interdiscount - Solothurn
Interdiscount Division der Coop Basel;5202076;5202076;Interdiscount - Spiez
Interdiscount Division der Coop Basel;5018975;5018975;Interdiscount - Spreitenbach Shoppi
Interdiscount Division der Coop Basel;34788645;34788645;Interdiscount - St. Gallen AFG Arena XXL
Interdiscount Division der Coop Basel;52044554;52044554;Interdiscount - St. Gallen Bahnhof
Interdiscount Division der Coop Basel;63808723;63808723;Interdiscount - St. Gallen Coop City
Interdiscount Division der Coop Basel;44989012;44989012;Interdiscount - St. Gallen Coop pronto
Interdiscount Division der Coop Basel;47788981;47788981;Interdiscount - St. Gallen Coop pronto
Interdiscount Division der Coop Basel;34788479;34788479;Interdiscount - St. Gallen Gallusmarkt
Interdiscount Division der Coop Basel;34788485;34788485;Interdiscount - St. Gallen Marktgasse
Interdiscount Division der Coop Basel;5019113;5019113;Interdiscount - Suhr
Interdiscount Division der Coop Basel;5018964;5018964;Interdiscount - Sursee
Interdiscount Division der Coop Basel;34788714;34788714;Interdiscount - Tenero XXL
Interdiscount Division der Coop Basel;5019125;5019125;Interdiscount - Thalwil
Interdiscount Division der Coop Basel;34799484;34799484;Interdiscount - Thônex
Interdiscount Division der Coop Basel;5019074;5019074;Interdiscount - Thun Bälliz
Interdiscount Division der Coop Basel;8690412;8690412;Interdiscount - Thun Strättligenmarkt
Interdiscount Division der Coop Basel;14240168;14240168;Interdiscount - Thusis
Interdiscount Division der Coop Basel;16052409;16052409;Interdiscount - Vaduz
Interdiscount Division der Coop Basel;14706345;14706345;Interdiscount - Vernier
Interdiscount Division der Coop Basel;32071724;32071724;Interdiscount - Vevey
Interdiscount Division der Coop Basel;5019087;5019087;Interdiscount - Vevey Lausanne
Interdiscount Division der Coop Basel;34788727;34788727;Interdiscount - Villars-sur-Glâne CF
Interdiscount Division der Coop Basel;7789673;7789673;Interdiscount - Visp
Interdiscount Division der Coop Basel;33520685;33520685;Interdiscount - Visp Eyholz
Interdiscount Division der Coop Basel;5019075;5019075;Interdiscount - Volketswil
Interdiscount Division der Coop Basel;44989013;44989013;Interdiscount - Volkiland Coop City
Interdiscount Division der Coop Basel;34799499;34799499;Interdiscount - Wädenswil
Interdiscount Division der Coop Basel;5019091;5019091;Interdiscount - Wattwil
Interdiscount Division der Coop Basel;34308290;34308290;Interdiscount - Weinfelden Thurmarkt
Interdiscount Division der Coop Basel;34788466;34788466;Interdiscount - Wettingen Tägipark
Interdiscount Division der Coop Basel;10054653;10054653;Interdiscount - Wetzikon
Interdiscount Division der Coop Basel;5019151;5019151;Interdiscount - Widnau
Interdiscount Division der Coop Basel;7789662;7789662;Interdiscount - Wil
Interdiscount Division der Coop Basel;11249937;11249937;Interdiscount - Willisau
Interdiscount Division der Coop Basel;14780194;14780194;Interdiscount - Winterthur City
Interdiscount Division der Coop Basel;44989014;44989014;Interdiscount - Winterthur Coop City
Interdiscount Division der Coop Basel;14780195;14780195;Interdiscount - Winterthur Grüzemarkt
Interdiscount Division der Coop Basel;13673107;13673107;Interdiscount - Winterthur Lokwerk
Interdiscount Division der Coop Basel;3855371;3855371;Interdiscount - Winterthur Markt
Interdiscount Division der Coop Basel;13173671;13173671;Interdiscount - Wohlen
Interdiscount Division der Coop Basel;34799481;34799481;Interdiscount - Würenlingen
Interdiscount Division der Coop Basel;34799493;34799493;Interdiscount - Würenlos
Interdiscount Division der Coop Basel;34788692;34788692;Interdiscount - Yverdon
Interdiscount Division der Coop Basel;5019103;5019103;Interdiscount - Zofingen
Interdiscount Division der Coop Basel;16407982;16407982;Interdiscount - Zuchwil XXL
Interdiscount Division der Coop Basel;5018961;5018961;Interdiscount - Zug Metalli XXL
Interdiscount Division der Coop Basel;34799486;34799486;Interdiscount - Zürich Airport Shopping
Interdiscount Division der Coop Basel;34799491;34799491;Interdiscount - Zürich Albisriederplatz
Interdiscount Division der Coop Basel;34799508;34799508;Interdiscount - Zürich Hauptbahnhof
Interdiscount Division der Coop Basel;34799480;34799480;Interdiscount - Zürich Langstrasse / Neugasse
Interdiscount Division der Coop Basel;34799505;34799505;Interdiscount - Zürich Letzi XXL
Interdiscount Division der Coop Basel;34799502;34799502;Interdiscount - Zürich Löwen
Interdiscount Division der Coop Basel;34799498;34799498;Interdiscount - Zürich Sihlcity
Interdiscount Division der Coop Basel;34799494;34799494;Interdiscount - Zürich Sihlstrasse Megastore
Interdiscount Division der Coop Basel;44989015;44989015;Interdiscount - Zürich St. Annahof
Interdiscount Division der Coop Basel;34799492;34799492;Interdiscount - Zürich Stauffacher
Interdiscount Division der Coop Basel;34799483;34799483;Interdiscount - Zürich-Oerlikon Bauhof
Interdiscount Division der Coop Basel;34799510;34799510;Interdiscount - Zürich-Oerlikon Eleven
Interdiscount Division der Coop Basel;57002636;57002636;Interdiscount Basel Pfauen Coop City
Interdiscount Division der Coop Basel;44989005;44989005;Interdiscount Basel Pfauen Coop City
Media Markt GmbH;78329;78329;Media Markt Aachen
Media Markt GmbH;3343470;3343470;Media Markt Aalen
Media Markt Management AG (HQ);45486028;45486028;Media Markt Aarau
Media Markt Management AG (HQ);17146193;17146193;Media Markt Aigle
Media Markt GmbH;3838514;3838514;Media Markt Albstadt
Media Markt GmbH;8453930;8453930;Media Markt Alzey
Media Markt GmbH;20686459;20686459;Media Markt Amberg
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;51309770;51309770;Media Markt Amstetten
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;33548038;33548038;Media Markt Amstetten
Media Markt GmbH;3935327;3935327;Media Markt Ansbach
Media Markt GmbH;57612;57612;Media Markt Aschaffenburg
Media Markt GmbH;3935328;3935328;Media Markt Aschaffenburg II
Media Markt GmbH;5024453;5024453;Media Markt Augsburg-Göggingen
Media Markt GmbH;2944471;2944471;Media Markt Augsburg-Oberhausen
Media Markt GmbH;3343472;3343472;Media Markt Backnang
Media Markt GmbH;36656238;36656238;Media Markt Bad Cannstatt
Media Markt GmbH;57385;57385;Media Markt Bad Dürrheim
Media Markt GmbH;4566044;4566044;Media Markt Bad Kreuznach
Media Markt GmbH;10082295;10082295;Media Markt Bad Neustadt
Media Markt GmbH;10815907;10815907;Media Markt Baden-Baden
Media Markt Management AG (HQ);31713116;31713116;Media Markt Basel SBB
Media Markt Management AG (HQ);7192594;7192594;Media Markt Basel SBB
Media Markt GmbH;57451;57451;Media Markt Bayreuth
Media Markt GmbH;57560;57560;Media Markt Belm-Osnabrück
Media Markt GmbH;35098047;35098047;Media Markt Berlin Hbf
Media Markt GmbH;5404377;5404377;Media Markt Berlin-Biesdorf
Media Markt GmbH;8448950;8448950;Media Markt Berlin-Charlottenburg
Media Markt GmbH;9014629;9014629;Media Markt Berlin-Eiche
Media Markt GmbH;3174155;3174155;Media Markt Berlin-Gropiusstadt
Media Markt GmbH;340417;340417;Media Markt Berlin-Hohenschönhausen
Media Markt GmbH;11806442;11806442;Media Markt Berlin-Mitte
Media Markt GmbH;509864;509864;Media Markt Berlin-Neukölln
Media Markt GmbH;9293712;9293712;Media Markt Berlin-Prenzlauer Berg
Media Markt GmbH;7320945;7320945;Media Markt Berlin-Schöneweide
Media Markt GmbH;1549895;1549895;Media Markt Berlin-Spandau
Media Markt GmbH;10000775;10000775;Media Markt Berlin-Steglitz
Media Markt GmbH;2944472;2944472;Media Markt Berlin-Tegel
Media Markt GmbH;13578346;13578346;Media Markt Berlin-Tempelhof
Media Markt GmbH;3935253;3935253;Media Markt Berlin-Waltersdorf
Media Markt GmbH;340418;340418;Media Markt Berlin-Wedding
Media Markt Management AG (HQ);28897414;28897414;Media Markt Bern Markthalle
Media Markt Management AG (HQ);37753686;37753686;Media Markt Biel-Brügg
Media Markt GmbH;59118;59118;Media Markt Bielefeld
Media Markt GmbH;5440285;5440285;Media Markt Bischofsheim
Media Markt GmbH;35219013;35219013;Media Markt Böblingen
Media Markt GmbH;57549;57549;Media Markt Bochum-Hofstede
Media Markt GmbH;2486128;2486128;Media Markt Bochum-Ruhrpark
Media Markt GmbH;20654180;20654180;Media Markt Bonn
Media Markt GmbH;54581;54581;Media Markt Bremen
Media Markt GmbH;16809758;16809758;Media Markt Bremen-Oslebshausen
Media Markt GmbH;2486215;2486215;Media Markt Bremerhaven
Media Markt GmbH;4038503;4038503;Media Markt Bruchsal
Media Markt GmbH;12081880;12081880;Media Markt Buchholz
Media Markt GmbH;44839863;44839863;Media Markt Burghausen
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;51309771;51309771;Media Markt Bürs
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;15333471;15333471;Media Markt Bürs
Media Markt GmbH;5061680;5061680;Media Markt Buxtehude
Media Markt GmbH;8448956;8448956;Media Markt Castrop-Rauxel
Media Markt GmbH;1727615;1727615;Media Markt Chemnitz
Media Markt GmbH;4806249;4806249;Media Markt Chemnitz-Röhrsdorf 
Media Markt Management AG (HQ);2868261;2868261;Media Markt Chur
Media Markt GmbH;4259909;4259909;Media Markt Coburg
Media Markt Management AG (HQ);5607487;5607487;Media Markt Conthey
Media Markt GmbH;3935329;3935329;Media Markt Cottbus
Media Markt GmbH;3343469;3343469;Media Markt Crailsheim
Media Markt Management AG (HQ);800743;800743;Media Markt Crissier
Media Markt GmbH;9442327;9442327;Media Markt Deggendorf
Media Markt GmbH;35445825;35445825;Media Markt Delmenhorst
Media Markt GmbH;8142425;8142425;Media Markt Dessau
Media Markt Management AG (HQ);74122;74122;Media Markt Dietikon Riedstr.
Media Markt Management AG (HQ);73142;73142;Media Markt Dietlikon Industrie
Media Markt GmbH;16310959;16310959;Media Markt Dietzenbach
Media Markt GmbH;7891002;7891002;Media Markt Donauwörth
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;36361859;36361859;Media Markt Dornbirn
Media Markt GmbH;40728175;40728175;Media Markt Dortmund Hörde
Media Markt GmbH;17156888;17156888;Media Markt Dortmund Oespel
Media Markt GmbH;13966600;13966600;Media Markt Dresden Centrum-Galerie
Media Markt GmbH;4580555;4580555;Media Markt Dresden-ElbePark
Media Markt GmbH;3935286;3935286;Media Markt Dresden-Kaufpark
Media Markt GmbH;10047575;10047575;Media Markt Duisburg-Großenbaum
Media Markt GmbH;67709;67709;Media Markt Duisburg-Marxloh
Media Markt GmbH;8459021;8459021;Media Markt Düsseldorf
Media Markt GmbH;13043271;13043271;Media Markt Düsseldorf-Bilk
Media Markt GmbH;401498;401498;Media Markt Egelsbach
Media Markt GmbH;24204158;24204158;Media Markt Eisenach
Media Markt GmbH;3343474;3343474;Media Markt Eislingen
Media Markt GmbH;8527047;8527047;Media Markt Ellwangen - DAS
Media Markt GmbH;17156884;17156884;Media Markt Emden
Media Markt GmbH;12263743;12263743;Media Markt Emden
Media Markt GmbH;44340878;44340878;Media Markt Emmendingen
Media Markt GmbH;13104371;13104371;Media Markt Erding
Media Markt GmbH;528086;528086;Media Markt Erfurt im Thüringen Park
Media Markt GmbH;9523087;9523087;Media Markt Erfurt T.E.C.
Media Markt GmbH;315923;315923;Media Markt Erlangen
Media Markt GmbH;15671753;15671753;Media Markt Eschweiler
Media Markt GmbH;57476;57476;Media Markt Essen
Media Markt GmbH;66993;66993;Media Markt Esslingen-Weil
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;16515928;16515928;Media Markt Feldkirch
Media Markt GmbH;78330;78330;Media Markt Feuerbach GmbH
Media Markt GmbH;3935302;3935302;Media Markt Flensburg
Media Markt GmbH;49846202;49846202;Media Markt Forchheim
Media Markt GmbH;58107;58107;Media Markt Frankfurt-NW-Zentrum
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;44716945;44716945;Media Markt Frauenhofen
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;51309772;51309772;Media Markt Frauenhofen
Media Markt GmbH;84037;84037;Media Markt Freiburg
Media Markt GmbH;6641700;6641700;Media Markt Friedrichshafen
Media Markt GmbH;3935356;3935356;Media Markt Fulda
Media Markt Management AG (HQ);9776260;9776260;Media Markt Genève-Carouge
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;33548079;33548079;Media Markt Gerasdorf G3 Center
MEDIA SATURN BETEILIGUNGDS G.m.b.H. HOLDING;43352939;43352939;Media Markt Gerasdorf G3 Center
Media Markt GmbH;9586759;9586759;Media Markt Gießen
Media Markt GmbH;20725960;20725960;Media Markt Gifhorn
Media Markt GmbH;3935306;3935306;Media Markt GmbH Nürtingen
Media Markt GmbH;5118811;5118811;Media Markt Goslar
Media Markt GmbH;83985;83985;Media Markt Göttingen
Media Markt Management AG (HQ);2495706;2495706;Media Markt Grancia
Media Markt Management AG (HQ);38072021;38072021;Media Markt Granges-Paccot
