Store_names,Reseller City,Super Division,Product Division,Business Unit,Sales Date,Rslr Sales Quantity,Rslr Sales Amount,black_week,christmas
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2021-07-31,5,1880,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2021-08-31,1,376,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2021-09-30,2,752,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2021-10-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2021-11-30,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2021-12-31,1,376,0,1
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2022-01-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series X,2022-02-28,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-01-31,5,159,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-02-28,3,101,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-03-31,5,159,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-04-30,5,130,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-05-31,1,14,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-06-30,7,101,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-07-31,7,130,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-08-31,4,87,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-09-30,5,130,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-10-31,3,43,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-11-30,5,72,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2017-12-31,9,217,0,2
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-01-31,7,246,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-02-28,2,58,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-03-31,6,174,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-04-30,3,72,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-05-31,4,87,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-06-30,2,29,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-07-31,3,43,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-08-31,1,14,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-09-30,2,65,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-10-31,8,158,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-11-30,4,59,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2018-12-31,7,178,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-01-31,2,26,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-02-28,2,26,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-03-31,3,66,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-04-30,5,158,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-05-31,1,13,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-06-30,3,72,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-07-31,7,105,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-08-31,2,33,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-09-30,5,99,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-10-31,8,151,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-11-30,2,39,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2019-12-31,4,79,0,2
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-01-31,2,26,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-02-29,4,85,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-03-31,2,52,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-04-30,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-05-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-06-30,3,66,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-07-31,2,39,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-08-31,4,79,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-09-30,1,13,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-10-31,1,39,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-11-30,1,19,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2020-12-31,1,13,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-01-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-02-28,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-03-31,1,39,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-04-30,1,13,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-05-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-06-30,2,79,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-07-31,1,39,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-08-31,1,13,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-09-30,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-10-31,2,29,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-11-30,1,39,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2021-12-31,2,35,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2022-01-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Live,Xbox LIVE Gold,Game Pass PC,2022-02-28,0,0,0,0
