Sales Date,Business Unit,Discount_amount,promos
2020-06-13,Surface Book,473,3
2020-06-14,Surface Book,473,3
2020-06-15,Surface Book,473,3
2020-06-16,Surface Book,473,3
2020-06-17,Surface Book,473,3
2020-06-18,Surface Book,473,3
2020-06-19,Surface Book,473,3
2020-06-20,Surface Book,473,3
2020-06-21,Surface Book,473,3
2020-06-22,Surface Book,473,3
2020-06-23,Surface Book,473,3
2020-06-24,Surface Book,473,3
2020-06-25,Surface Book,473,3
2020-06-26,Surface Book,473,3
2020-06-27,Surface Book,473,3
2020-06-28,Surface Book,473,3
2020-06-29,Surface Book,473,3
2020-06-30,Surface Book,473,3
2020-07-01,Surface Book,473,3
2020-07-02,Surface Book,473,3
2020-07-03,Surface Book,473,3
2020-07-04,Surface Book,473,3
2020-07-05,Surface Book,473,3
2020-07-06,Surface Book,473,3
2020-07-07,Surface Book,473,3
2020-07-08,Surface Book,473,3
2020-07-09,Surface Book,473,3
2020-07-10,Surface Book,473,3
2020-07-11,Surface Book,473,3
2020-07-12,Surface Book,473,3
2020-07-13,Surface Book,473,3
2020-07-14,Surface Book,473,3
2020-07-15,Surface Book,473,3
2020-07-16,Surface Book,473,3
2020-07-17,Surface Book,473,3
2020-07-18,Surface Book,473,3
2020-07-19,Surface Book,473,3
2020-07-20,Surface Book,473,3
2020-07-21,Surface Book,473,3
2020-07-22,Surface Book,473,3
2020-07-23,Surface Book,473,3
2020-07-24,Surface Book,473,3
2020-07-25,Surface Book,473,3
2020-07-26,Surface Book,473,3
2020-07-27,Surface Book,473,3
2020-07-28,Surface Book,473,3
2020-07-29,Surface Book,473,3
2020-07-30,Surface Book,473,3
2020-07-31,Surface Book,473,3
2020-08-01,Surface Book,473,3
2020-08-02,Surface Book,473,3
2020-08-03,Surface Book,473,3
2020-08-04,Surface Book,473,3
2020-08-05,Surface Book,473,3
2020-08-06,Surface Book,473,3
2020-08-07,Surface Book,473,3
2020-08-08,Surface Book,473,3
2020-08-09,Surface Book,473,3
2020-08-10,Surface Book,473,3
2020-08-11,Surface Book,473,3
2020-08-12,Surface Book,473,3
2020-08-13,Surface Book,473,3
2020-08-14,Surface Book,473,3
2020-08-15,Surface Book,473,3
2020-08-16,Surface Book,473,3
2020-08-17,Surface Book,473,3
2020-08-18,Surface Book,473,3
2020-08-19,Surface Book,473,3
2020-08-20,Surface Book,473,3
2020-08-21,Surface Book,473,3
2020-08-22,Surface Book,473,3
2020-08-23,Surface Book,473,3
2020-08-24,Surface Book,473,3
2020-08-25,Surface Book,473,3
2020-08-26,Surface Book,473,3
2020-08-27,Surface Book,473,3
2020-08-28,Surface Book,473,3
2020-08-29,Surface Book,473,3
2020-08-30,Surface Book,473,3
2020-08-31,Surface Book,473,3
2020-09-01,Surface Book,473,3
2020-09-02,Surface Book,473,3
2020-09-03,Surface Book,473,3
2020-09-04,Surface Book,473,3
2020-09-05,Surface Book,473,3
2020-09-06,Surface Book,473,3
2020-09-07,Surface Book,473,3
2020-09-08,Surface Book,473,3
2020-09-09,Surface Book,473,3
2020-09-10,Surface Book,473,3
2020-09-11,Surface Book,473,3
2020-09-12,Surface Book,473,3
2020-09-13,Surface Book,473,3
2020-09-14,Surface Book,473,3
2020-09-15,Surface Book,473,3
2020-09-16,Surface Book,473,3
2020-09-17,Surface Book,473,3
2020-09-18,Surface Book,473,3
2020-09-19,Surface Book,473,3
2020-09-20,Surface Book,473,3
2020-09-21,Surface Book,473,3
2020-09-22,Surface Book,473,3
2020-09-23,Surface Book,473,3
2020-09-24,Surface Book,473,3
2020-09-25,Surface Book,473,3
2020-09-26,Surface Book,473,3
2020-09-27,Surface Book,473,3
2020-09-28,Surface Book,473,3
2020-09-29,Surface Book,473,3
2020-09-30,Surface Book,473,3
2020-01-01,Surface Pro,360,1
2020-01-02,Surface Pro,360,1
2020-01-03,Surface Pro,360,1
2020-01-04,Surface Pro,360,1
2020-01-05,Surface Pro,360,1
2020-01-06,Surface Pro,360,1
2020-01-07,Surface Pro,360,1
2020-01-08,Surface Pro,360,1
2020-01-09,Surface Pro,360,1
2020-01-10,Surface Pro,360,1
2020-01-11,Surface Pro,360,1
2020-01-12,Surface Pro,360,1
2020-01-13,Surface Pro,360,1
2020-01-14,Surface Pro,360,1
2020-01-15,Surface Pro,360,1
2020-01-16,Surface Pro,360,1
2020-01-17,Surface Pro,360,1
2020-01-18,Surface Pro,360,1
2020-01-19,Surface Pro,360,1
2020-01-20,Surface Pro,360,1
2020-01-21,Surface Pro,360,1
2020-01-22,Surface Pro,360,1
2020-01-23,Surface Pro,360,1
2020-01-24,Surface Pro,360,1
2020-01-25,Surface Pro,360,1
2020-01-26,Surface Pro,360,1
2020-01-27,Surface Pro,360,1
2020-01-28,Surface Pro,360,1
2020-01-29,Surface Pro,360,1
2020-01-30,Surface Pro,360,1
2020-01-31,Surface Pro,360,1
2020-02-01,Surface Pro,306,1
2020-02-02,Surface Pro,306,1
2020-02-03,Surface Pro,306,1
